Date,Open,High,Low,Close
1,1000,1010,900,1002
2,994.2477511060797,1045.0322329297107,894.8081302175407,1029.2060959597804
3,952.3918689034379,1022.4875747580676,896.2211362641622,1029.6699447156798
4,929.6877979536408,1046.0055041225078,929.603415346156,1064.9513104035518
5,912.5013922668408,1018.8042784780515,935.5242956681129,1116.3289975721789
6,943.0893879011742,978.1982663399978,944.5261248447536,1107.33589040096
7,905.698314858394,1008.1001257142318,970.1135395835346,1074.2646726734386
8,884.7739772589309,1002.0057622466348,963.6593921962436,1077.7081185101576
9,852.2218463026529,976.0335647955201,940.4026562557146,1025.6612067566068
10,836.4516511624646,981.0344751791215,967.7417599301752,976.3135956877333
11,833.3084291787901,964.5622462941054,985.3574293388897,949.5433923537743
12,811.5697994698907,972.3929557965143,998.9911195745166,974.7207347528258
13,850.6187999186717,966.7982488745718,997.3101133680105,998.767936820873
14,840.7164518495653,945.9754037789949,978.7516680031457,989.0615149077717
15,816.8828608754098,986.0161391585428,974.7023018580495,967.9254908350007
16,827.9883589089411,957.2765766484735,937.5206708314143,959.3399988974284
17,868.0293928390805,933.9706913642914,954.3487759191969,981.9371137130701
18,850.0800794391394,939.4639800425681,932.9153080919043,992.4870155375207
19,851.5598713702941,917.0046164691164,894.2921396676265,1001.4961751428099
20,847.2043078632558,927.9964314667752,914.555574260657,997.6389914638775
21,826.4619804016975,971.5599710994229,906.663649263432,958.9602360870417
22,785.1392171347771,927.8155486076023,898.8181420226068,921.3991154226228
23,781.0136196919851,959.0329220469928,878.9280210691572,913.436801217897
24,742.0273532319006,913.2773437062756,866.3780685588517,948.548239876245
25,746.0238926966138,899.6283471631608,868.8690277227956,986.8261608900634
26,757.8802148658039,883.5391945087171,898.4563002447248,978.3155555950111
27,741.786249338716,854.3971509575122,872.4144910814156,1011.3734497693802
28,732.0585031775911,884.5165956153523,887.7551297497719,1023.2679046992515
29,698.5357034591075,901.2205501433773,923.3874778140458,977.5309028503411
30,669.1617403899954,857.4168904622039,905.2097970765199,978.1245700081388
31,690.1536632167711,878.7078958946441,944.1724464099954,1005.4123806195771
32,695.3911875819567,854.8216916981779,990.6626707576846,969.8328079453776
33,680.6524960498426,829.2787090152292,1018.4380987522128,953.5471074598897
34,680.8517108712656,804.2001075028396,1040.0309318293723,988.8629494914563
35,703.0937874112536,785.4037586593306,999.112380107876,950.067757507436
36,675.6033223845849,788.4749454166357,1041.550352766951,971.3858932036816
37,648.6012362838021,800.6262149061462,1052.6956542965077,943.3056664469583
38,676.946289533083,825.393516723116,1077.2298646366414,957.0295660505781
39,675.0992679863571,790.3989593502323,1030.864684138211,942.2727690829696
40,694.2781279215076,782.3069517384472,1008.4839155459273,958.3739011781377
41,706.1945107658701,805.3056913708211,976.8402509651627,949.537461941725
42,734.4538918375546,816.8232443797659,1007.2987492734644,908.2031597713002
43,721.511368886605,812.818163347854,1006.8178701580938,925.2057643318851
44,719.2320162013497,833.4341744270664,1018.7887625830688,927.449618913195
45,686.7034480852057,796.2233716547322,1057.1561046185006,969.1989795602079
46,713.9630345248621,786.5878116121814,1019.4548285056741,1013.6997283073426
47,735.6098520861156,782.5191134227535,1017.2486831743511,1032.570237020831
48,736.3487966688496,806.9706118964259,1044.8271538769627,1046.4091684479938
49,699.5354913595465,823.7359895329868,1034.8885294063346,1019.3958481891433
50,730.543076914581,845.5193843358107,1063.002769406341,986.3350183025788
51,764.1684200635755,851.4151106082846,1068.5655425473294,993.4169373489419
52,752.8593894458257,833.9958102483408,1065.0183557768976,944.288815940088
